'4255 Arbutus St Vancouver BC V6J 4R1 Canada','Arbutus Shopping Centre',49.2487758,-123.1550158
'650 W 41st Ave Vancouver BC V5Z 2M9 Canada','Oakridge Centre',49.2320488,-123.1186817
'701 W Georgia St Vancouver BC V7Y 1G5 Canada','CF Pacific Centre',49.2843789,-123.1163501
'350 W Georgia St Vancouver BC V6B 6B1 Canada','Vancouver Public Library Central Library',49.279794,-123.11567
'555 W Hastings St Vancouver BC V6B 4N5 Canada','BC Liquor Stores',49.284902,-123.111629
'450 Granville St Vancouver BC V6C 1V4 Canada','Trees Organic Coffee',49.2848859,-123.1143409
'International Village Mall 88 W Pender St #1131 Vancouver BC V6B 6N9 Canada','Made In Print',49.2804809,-123.1066537
'888 Beatty St Vancouver BC V6B 1C2 Canada','Made in Print (Vancouver Beatty)',49.2767136,-123.1150839
'1155 Robson St Vancouver BC V6E 1B5 Canada','Robson Street Business Association',49.2855657,-123.1260072
'88 W Pender St Vancouver BC V6B 6N8 Canada','International Village Mall',49.2802661,-123.1067135
'701 W Georgia St Vancouver BC V7Y 1G5 Canada','CF Pacific Centre',49.2843789,-123.1163501
'1108 Pacific Blvd Vancouver BC V6Z 2X7 Canada','BC Liquor Stores',49.2742467,-123.1196953
'1348 Burrard St Vancouver BC V6Z 2B7 Canada','Minuteman Press Downtown Vancouver',49.277086,-123.131439
'1055 W Georgia St #220 Vancouver BC V6E 3P3 Canada','Staples',49.2853911,-123.12155
'700 West Georgia #Z016 Vancouver BC V7Y 1K8 Canada','Virgin Mobile',49.2832713,-123.1179301
'318 Homer Street Suite 210 Vancouver BC V6B 1E8 Canada','Gastown Business Improvement Society',49.2837831,-123.1100571
'1087 Robson St Vancouver BC V6E 1A9 Canada','Virgin Mobile',49.2843661,-123.1242801
'36 W Cordova St Vancouver BC V6B 1C9 Canada','Army & Navy',49.2824566,-123.1051884
'549 Howe St Vancouver BC V6C 2C2 Canada','ELS Language Centers',49.2848837,-123.1167301
'768 Bute St Vancouver BC V6E 4H6 Canada','BC Liquor Stores',49.286295,-123.1257327
'1155 Bute St Vancouver BC V6E 1Z7 Canada','BC Liquor Stores',49.2821229,-123.1331234
'800 Robson St Vancouver BC V6Z 3B7 Canada','UBC Sauder School of Business Executive Education',49.2828518,-123.1206884
'898 W Pender St Vancouver BC V6C 1J8 Canada','Vancity Credit Union Br. 10 -Downtown community branch',49.2856351,-123.1168738
'650 W 41st Ave Vancouver BC V5Z 2M9 Canada','Oakridge Centre',49.2320488,-123.1186817
'555 12th Avenue W Vancouver BC V5Z 3X7 Canada','City Square',49.2609344,-123.1161108
'701 W Georgia St Vancouver BC V7Y 1G5 Canada','CF Pacific Centre',49.2843789,-123.1163501
'4151 Hazelbridge Way Richmond BC V6X 4J7 Canada','Aberdeen Centre',49.1839775,-123.1335519
'505 Burrard St Vancouver BC V7X 1M9 Canada','Bentall Centre',49.286595,-123.118444
'88 W Pender St Vancouver BC V6B 6N8 Canada','International Village Mall',49.2802661,-123.1067135
'6551 No 3 Rd Richmond BC V6Y 2B6 Canada','CF Richmond Centre',49.1669379,-123.1384325
'935 Marine Dr North Vancouver BC V7P 1S3 Canada','Capilano Mall',49.3217529,-123.1001628
'4500 Kingsway Burnaby BC V5H 2B1 Canada','The Crystal Mall',49.2291936,-123.0046606
'4700 Kingsway #604 Burnaby BC V5H 4N2 Canada','Metropolis at Metrotown',49.2261501,-122.9991133
'340-757 W Hastings St Vancouver BC V6C 1A1 Canada','Sinclair Centre',49.2863743,-123.1140779
'3453 Dunbar St Vancouver BC V6S 2C3 Canada','BC Liquor Stores',49.2562526,-123.1854882
'4355 Dunbar St Vancouver BC V6S 2G2 Canada','Dunbar Produce',49.2474354,-123.1853655
'5300 No 3 Rd Richmond BC V6X 2X9 Canada','Lansdowne Centre',49.175756,-123.1324697
'4567 Lougheed Hwy #260 Burnaby BC V5C 3Z6 Canada','Brentwood Town Centre',49.2684831,-123.0007943
'3870 Jacombs Rd Richmond BC V6V 1Y6 Canada','sleep Country Canada',49.1857306,-123.0795401
'114 - 370 East Broadway Street Vancouver BC V5T 4G5 Canada','Kingsgate Mall',49.2622958,-123.0972251
'3322 Dunbar St Vancouver BC V6S 2C1 Canada','Blight's Home Hardware',49.2571199,-123.184964
'4470 Dunbar St Vancouver BC V6S 2G5 Canada','Mac's',49.2465368,-123.1847404
'5630 Dunbar St Vancouver BC V6N 1W7 Canada','All Nations Stamp and Coin',49.2353561,-123.1851479
'555 12th Avenue W Vancouver BC V5Z 3X7 Canada','City Square',49.2609344,-123.1161108
'1385 W 8th Ave Vancouver BC V6H 3V9 Canada','Fairview Centre',49.2646242,-123.1357499
'701 W Georgia St Vancouver BC V7Y 1G5 Canada','CF Pacific Centre',49.2843789,-123.1163501
'88 W Pender St Vancouver BC V6B 6N8 Canada','International Village Mall',49.2802661,-123.1067135
'505 Burrard St Vancouver BC V7X 1M9 Canada','Bentall Centre',49.286595,-123.118444
'550 W Broadway Vancouver BC V5Z 1E9 Canada','Neelu Bachra Centre',49.2630799,-123.1166976
'650 W 41st Ave Vancouver BC V5Z 2M9 Canada','Oakridge Centre',49.2320488,-123.1186817
'1030 Denman St #125A Vancouver BC V6G 2M6 Canada','Denman Place Mall',49.2887289,-123.1382003
'838 Hamilton St Vancouver BC V6B 6A2 Canada','Aviawest in Vancouver',49.27843,-123.1161315
'678 Dunsmuir St Vancouver BC V7Y 1K8 Canada','Hudson Mall',49.2831614,-123.116576
'321 Water St Vancouver BC V6B 1B8 Canada','Hudson House Trading Company',49.284637,-123.1092524
'935 Marine Dr North Vancouver BC V7P 1S3 Canada','Capilano Mall',49.3217529,-123.1001628
'Canada Pl Vancouver BC V6C 3G3 Canada','Burrard Landing',49.2893204,-123.1175351
'123 Carrie Cates Ct North Vancouver BC V7M 3K7 Canada','Lonsdale Quay Market',49.3107128,-123.0817305
'1199 Lynn Valley #129A North Vancouver BC V7J 3H2 Canada','Lynn Valley Centre',49.3344816,-123.0401548
'1641 COMMERCIAL DRQ Vancouver BC Canada','II Mercato',49.2697369,-123.0698537
'3057 Grandview Hwy Vancouver BC V5M 2E4 Canada','Big Box Outlet Store - Vancouver and Online Store',49.2590493,-123.039633
'88 W Pender St Vancouver BC V6B 6N8 Canada','International Village Mall',49.2802661,-123.1067135
'701 W Georgia St Vancouver BC V7Y 1G5 Canada','CF Pacific Centre',49.2843789,-123.1163501
'555 12th Avenue W Vancouver BC V5Z 3X7 Canada','City Square',49.2609344,-123.1161108
'935 Marine Dr North Vancouver BC V7P 1S3 Canada','Capilano Mall',49.3217529,-123.1001628
'650 W 41st Ave Vancouver BC V5Z 2M9 Canada','Oakridge Centre',49.2320488,-123.1186817
'4700 Kingsway #604 Burnaby BC V5H 4N2 Canada','Metropolis at Metrotown',49.2261501,-122.9991133
'4500 Kingsway Burnaby BC V5H 2B1 Canada','The Crystal Mall',49.2291936,-123.0046606
'2002 Park Royal S West Vancouver BC V7T 2W4 Canada','Park Royal',49.3248206,-123.1368195
'4567 Lougheed Hwy #260 Burnaby BC V5C 3Z6 Canada','Brentwood Town Centre',49.2684831,-123.0007943
'1520 Commercial Dr Vancouver BC V5L 3Y2 Canada','BC Liquor Stores',49.2710116,-123.0692662
'1615 E 1st Ave Vancouver BC V5N 1A8 Canada','Fitxpress Fitness Center',49.2698428,-123.0712301
'1820 E Hastings St Vancouver BC V5L 1T2 Canada','Value Village',49.2809372,-123.0674942
'2092 E Hastings St Vancouver BC V5L 1T9 Canada','7-Eleven',49.2808595,-123.0619654
'1684 Commercial Dr Vancouver BC V5L 3Y4 Canada','The DRIVE PHARMACY',49.269813,-123.0694611
'1343 Adanac St Vancouver BC V5L 2C4 Canada','Cosmos Auto Body & Collision Repair Shop Vancouver Bc',49.2777896,-123.0761456
'370 E Broadway #129 Near BC Liquor Stores Vancouver BC V5T 4G5 Canada','Fast Cell Repair (Kingsgate Mall)',49.262255,-123.097158
